Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-DEC-2024,13771,13832.7,13739.5,13825.85,1491705317,67867.1
04-DEC-2024,13857.65,13898.6,13794.05,13866.2,1830888352,70693.89
05-DEC-2024,13916.25,14037.95,13793.95,13983.4,2146510348,79472.74
06-DEC-2024,14004.75,14029.55,13949.2,13996.8,1747000263,60660.68
09-DEC-2024,13977,14018.15,13951.45,13977.2,1399404969,59035.08
10-DEC-2024,13997.85,14006.9,13925.6,13985.45,1398391095,55975.35
11-DEC-2024,13986.8,14030.35,13973.25,14007.6,1162253683,47851.16
12-DEC-2024,13996.45,14026.9,13947.9,13956.45,1334267888,58350.84
13-DEC-2024,13926.85,14046.35,13735.75,14035.9,1618708799,59745.9
16-DEC-2024,14040,14062.3,13979.45,14021.75,932457034,44569.36
17-DEC-2024,13988.9,14013.95,13840,13858,1440586431,59830.38
18-DEC-2024,13843.65,13874.55,13725.75,13759.3,1308422726,50684.37
19-DEC-2024,13558.65,13659.95,13555.2,13638.15,1187065607,54458.71
20-DEC-2024,13653.6,13699.15,13348.65,13373.9,1911091775,89123.73
23-DEC-2024,13452.95,13525.05,13399.55,13449.75,1128252296,43393.07
24-DEC-2024,13460.5,13511,13408.45,13436,974836280,36919.85
26-DEC-2024,13462.75,13492.85,13394.2,13456.35,955542034,36991.55
27-DEC-2024,13483.05,13538.2,13452.6,13459.75,767971972,33920.35
30-DEC-2024,13454.9,13516.65,13356.1,13408.85,2470316177,93566.83
31-DEC-2024,13355.9,13435.15,13290.35,13406.95,1280943760,44159.86
01-JAN-2025,13407,13490,13362.05,13462.45,1034945347,30587.83
02-JAN-2025,13486.55,13693.8,13463.2,13685.05,1410039356,58888.73
03-JAN-2025,13702.55,13707.8,13594.05,13610.5,1662255886,62226.12
06-JAN-2025,13635.55,13637.65,13293.45,13331.8,1727699756,56146.19
07-JAN-2025,13363.2,13449.6,13340.55,13385.55,1398407150,49689.63
08-JAN-2025,13407.6,13410.6,13228.5,13337.5,1323867049,53531.33
09-JAN-2025,13337.05,13342.25,13218.45,13228.5,1260640175,55048.07
10-JAN-2025,13234.2,13251.7,13070.1,13105.35,1450741756,55533.28
13-JAN-2025,12961.75,13015.95,12777,12799.6,2024195279,63298.5
14-JAN-2025,12851.7,12970.05,12849.8,12935.25,1986409369,69531.81
15-JAN-2025,12989.1,13023.7,12919.45,12975.4,2549038901,57805.86
16-JAN-2025,13087.6,13104.3,13052.5,13064.95,1721919048,61298.38
